add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528545716.562798] /dev/input/event6: EV_ABS       ABS_X                00007d2c            
[1528545716.562798] /dev/input/event6: EV_ABS       ABS_Y                000061bf            
[1528545716.562798] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.579515] /dev/input/event6: EV_ABS       ABS_X                000066fe            
[1528545716.579515] /dev/input/event6: EV_ABS       ABS_Y                00005c53            
[1528545716.579515] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.597488] /dev/input/event6: EV_ABS       ABS_X                0000505f            
[1528545716.597488] /dev/input/event6: EV_ABS       ABS_Y                00005714            
[1528545716.597488] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.615136] /dev/input/event6: EV_ABS       ABS_X                000047e3            
[1528545716.615136] /dev/input/event6: EV_ABS       ABS_Y                00005582            
[1528545716.615136] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.629799] /dev/input/event6: EV_ABS       ABS_X                00004215            
[1528545716.629799] /dev/input/event6: EV_ABS       ABS_Y                000054a2            
[1528545716.629799] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.646596] /dev/input/event6: EV_ABS       ABS_X                00004098            
[1528545716.646596] /dev/input/event6: EV_ABS       ABS_Y                00005475            
[1528545716.646596] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.664217] /dev/input/event6: EV_ABS       ABS_X                00004026            
[1528545716.664217] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.680118] /dev/input/event6: EV_ABS       ABS_X                00004000            
[1528545716.680118] /dev/input/event6: EV_ABS       ABS_Y                0000541b            
[1528545716.680118] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.881953] /dev/input/event6: EV_ABS       ABS_X                00003f8d            
[1528545716.881953] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.896698] /dev/input/event6: EV_ABS       ABS_X                00003bd5            
[1528545716.896698] /dev/input/event6: EV_ABS       ABS_Y                00005635            
[1528545716.896698] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.912806] /dev/input/event6: EV_ABS       ABS_X                000035ba            
[1528545716.912806] /dev/input/event6: EV_ABS       ABS_Y                00005a94            
[1528545716.912806] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.931970] /dev/input/event6: EV_ABS       ABS_X                00002dfd            
[1528545716.931970] /dev/input/event6: EV_ABS       ABS_Y                00005f4c            
[1528545716.931970] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.947570] /dev/input/event6: EV_ABS       ABS_X                00002914            
[1528545716.947570] /dev/input/event6: EV_ABS       ABS_Y                000061ec            
[1528545716.947570] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.972381] /dev/input/event6: EV_ABS       ABS_X                000024c3            
[1528545716.972381] /dev/input/event6: EV_ABS       ABS_Y                00006352            
[1528545716.972381] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.979732] /dev/input/event6: EV_ABS       ABS_X                000022fa            
[1528545716.979732] /dev/input/event6: EV_ABS       ABS_Y                00006405            
[1528545716.979732] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545716.999108] /dev/input/event6: EV_ABS       ABS_X                00002215            
[1528545716.999108] /dev/input/event6: EV_ABS       ABS_Y                0000645f            
[1528545716.999108] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545717.013523] /dev/input/event6: EV_ABS       ABS_X                000021c9            
[1528545717.013523] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545717.224992] /dev/input/event6: EV_ABS       ABS_Y                000064b8            
[1528545717.224992] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545717.255646] /dev/input/event6: EV_ABS       ABS_X                0000223b            
[1528545717.255646] /dev/input/event6: EV_ABS       ABS_Y                000064e5            
[1528545717.255646] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545717.262473] /dev/input/event6: EV_ABS       ABS_X                0000236c            
[1528545717.262473] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545717.279656] /dev/input/event6: EV_ABS       ABS_X                00004e6f            
[1528545717.279656] /dev/input/event6: EV_ABS       ABS_Y                00006405            
[1528545717.279656] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545717.297744] /dev/input/event6: EV_ABS       ABS_X                000073f1            
[1528545717.297744] /dev/input/event6: EV_ABS       ABS_Y                000064e5            
[1528545717.297744] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528545720.240009] /dev/input/event7: EV_MSC       MSC_SCAN             000000db            
