add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528436904.944250] /dev/input/event6: EV_ABS       ABS_Y                00004139            
[1528436904.944250] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.965914] /dev/input/event6: EV_ABS       ABS_X                000020ee            
[1528436904.965914] /dev/input/event6: EV_ABS       ABS_Y                000040df            
[1528436904.965914] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.984594] /dev/input/event6: EV_ABS       ABS_X                00002055            
[1528436904.984594] /dev/input/event6: EV_ABS       ABS_Y                00004059            
[1528436904.984594] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436904.996294] /dev/input/event6: EV_ABS       ABS_Y                00004000            
[1528436904.996294] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.018593] /dev/input/event6: EV_ABS       ABS_X                00001fe3            
[1528436905.018593] /dev/input/event6: EV_ABS       ABS_Y                00003f79            
[1528436905.018593] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.044636] /dev/input/event6: EV_ABS       ABS_Y                00003f4c            
[1528436905.044636] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.067168] /dev/input/event6: EV_ABS       ABS_Y                00003ef3            
[1528436905.067168] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.245672] /dev/input/event6: EV_ABS       ABS_Y                00003ec6            
[1528436905.245672] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.256919] /dev/input/event7: EV_MSC       MSC_SCAN             000000db            
[1528436905.256919] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.256986] /dev/input/event7: EV_MSC       MSC_SCAN             000000dc            
[1528436905.256986] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257069] /dev/input/event7: EV_MSC       MSC_SCAN             000000dd            
[1528436905.257069] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257136] /dev/input/event7: EV_MSC       MSC_SCAN             00000038            
[1528436905.257136] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257167] /dev/input/event7: EV_MSC       MSC_SCAN             00000038            
[1528436905.257167] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257198] /dev/input/event7: EV_MSC       MSC_SCAN             00000036            
[1528436905.257198] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.257248] /dev/input/event7: EV_MSC       MSC_SCAN             0000001d            
[1528436905.257248] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.260773] /dev/input/event7: EV_MSC       MSC_SCAN             00000000            
[1528436905.260773] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436905.261164] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    00001fe2            
[1528436905.261164] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00003ec5            
[1528436905.261164] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436905.261164] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436905.261216] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    00001fe2            
[1528436905.261216] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00003ec5            
[1528436905.261216] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436905.261216] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436905.277458] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436905.277458] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436905.512646] /dev/input/event6: EV_ABS       ABS_X                0000226b            
[1528436905.512646] /dev/input/event6: EV_ABS       ABS_Y                00003cda            
[1528436905.512646] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.537233] /dev/input/event6: EV_ABS       ABS_X                000025ff            
[1528436905.537233] /dev/input/event6: EV_ABS       ABS_Y                00003a67            
[1528436905.537233] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.564978] /dev/input/event6: EV_ABS       ABS_X                000037ba            
[1528436905.564978] /dev/input/event6: EV_ABS       ABS_Y                00002eb0            
[1528436905.564978] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.580202] /dev/input/event6: EV_ABS       ABS_X                00003b9a            
[1528436905.580202] /dev/input/event6: EV_ABS       ABS_Y                00002cf0            
[1528436905.580202] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.600379] /dev/input/event6: EV_ABS       ABS_X                000047ac            
[1528436905.600379] /dev/input/event6: EV_ABS       ABS_Y                0000261e            
[1528436905.600379] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.612234] /dev/input/event6: EV_ABS       ABS_X                00004ce3            
[1528436905.612234] /dev/input/event6: EV_ABS       ABS_Y                00002325            
[1528436905.612234] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.631867] /dev/input/event6: EV_ABS       ABS_X                00005077            
[1528436905.631867] /dev/input/event6: EV_ABS       ABS_Y                000020df            
[1528436905.631867] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.643990] /dev/input/event6: EV_ABS       ABS_X                000052b3            
[1528436905.643990] /dev/input/event6: EV_ABS       ABS_Y                00001fd3            
[1528436905.643990] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.665472] /dev/input/event6: EV_ABS       ABS_X                000053e4            
[1528436905.665472] /dev/input/event6: EV_ABS       ABS_Y                00001ef3            
[1528436905.665472] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.686670] /dev/input/event6: EV_ABS       ABS_X                000054a3            
[1528436905.686670] /dev/input/event6: EV_ABS       ABS_Y                00001e13            
[1528436905.686670] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.694010] /dev/input/event6: EV_ABS       ABS_X                000054ef            
[1528436905.694010] /dev/input/event6: EV_ABS       ABS_Y                00001de6            
[1528436905.694010] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436905.862092] /dev/input/event6: EV_ABS       ABS_X                0000553b            
[1528436905.862092] /dev/input/event6: EV_ABS       ABS_Y                00001dba            
[1528436905.862092] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.012661] /dev/input/event6: EV_ABS       ABS_X                00005562            
[1528436906.012661] /dev/input/event6: EV_ABS       ABS_Y                00001d8d            
[1528436906.012661] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.027495] /dev/input/event6: EV_ABS       ABS_X                0000553b            
[1528436906.027495] /dev/input/event6: EV_ABS       ABS_Y                00001d33            
[1528436906.027495] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.055712] /dev/input/event6: EV_ABS       ABS_Y                00001d06            
[1528436906.055712] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.060942] /dev/input/event6: EV_ABS       ABS_X                000054a3            
[1528436906.060942] /dev/input/event6: EV_ABS       ABS_Y                00001c80            
[1528436906.060942] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.077152] /dev/input/event6: EV_ABS       ABS_X                0000547d            
[1528436906.077152] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.096330] /dev/input/event6: EV_ABS       ABS_X                0000540a            
[1528436906.096330] /dev/input/event6: EV_ABS       ABS_Y                00001bcd            
[1528436906.096330] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.118329] /dev/input/event6: EV_ABS       ABS_X                000053e4            
[1528436906.118329] /dev/input/event6: EV_ABS       ABS_Y                00001ba0            
[1528436906.118329] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.127159] /dev/input/event6: EV_ABS       ABS_Y                00001b1a            
[1528436906.127159] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.197148] /dev/input/event7: EV_MSC       MSC_SCAN             00000000            
[1528436906.197148] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528436906.197218] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    000053e4            
[1528436906.197218] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00001b1a            
[1528436906.197218] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436906.197218] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436906.248000] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528436906.248000] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528436906.579587] /dev/input/event6: EV_ABS       ABS_X                00005457            
[1528436906.579587] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.595040] /dev/input/event6: EV_ABS       ABS_X                000054ef            
[1528436906.595040] /dev/input/event6: EV_ABS       ABS_Y                00001ba0            
[1528436906.595040] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.613105] /dev/input/event6: EV_ABS       ABS_X                000055d4            
[1528436906.613105] /dev/input/event6: EV_ABS       ABS_Y                00001c53            
[1528436906.613105] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.646837] /dev/input/event6: EV_ABS       ABS_X                000056df            
[1528436906.646837] /dev/input/event6: EV_ABS       ABS_Y                00001d33            
[1528436906.646837] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.660476] /dev/input/event6: EV_ABS       ABS_X                0000572b            
[1528436906.660476] /dev/input/event6: EV_ABS       ABS_Y                00001d60            
[1528436906.660476] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.800451] /dev/input/event6: EV_ABS       ABS_X                00005778            
[1528436906.800451] /dev/input/event6: EV_ABS       ABS_Y                00001d8d            
[1528436906.800451] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.812926] /dev/input/event6: EV_ABS       ABS_Y                00001dba            
[1528436906.812926] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.829033] /dev/input/event6: EV_ABS       ABS_X                000057c4            
[1528436906.829033] /dev/input/event6: EV_ABS       ABS_Y                00001de6            
[1528436906.829033] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.845520] /dev/input/event6: EV_ABS       ABS_X                0000591b            
[1528436906.845520] /dev/input/event6: EV_ABS       ABS_Y                00001f20            
[1528436906.845520] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.860463] /dev/input/event6: EV_ABS       ABS_X                000059b4            
[1528436906.860463] /dev/input/event6: EV_ABS       ABS_Y                0000202c            
[1528436906.860463] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.877779] /dev/input/event6: EV_ABS       ABS_X                00005a99            
[1528436906.877779] /dev/input/event6: EV_ABS       ABS_Y                00002166            
[1528436906.877779] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.903588] /dev/input/event6: EV_ABS       ABS_X                00005abf            
[1528436906.903588] /dev/input/event6: EV_ABS       ABS_Y                000022f9            
[1528436906.903588] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.916568] /dev/input/event6: EV_ABS       ABS_X                00005a4c            
[1528436906.916568] /dev/input/event6: EV_ABS       ABS_Y                0000261e            
[1528436906.916568] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.929952] /dev/input/event6: EV_ABS       ABS_X                00005705            
[1528436906.929952] /dev/input/event6: EV_ABS       ABS_Y                00002c6a            
[1528436906.929952] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.945931] /dev/input/event6: EV_ABS       ABS_X                0000553b            
[1528436906.945931] /dev/input/event6: EV_ABS       ABS_Y                00002e56            
[1528436906.945931] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.974608] /dev/input/event6: EV_ABS       ABS_X                00005372            
[1528436906.974608] /dev/input/event6: EV_ABS       ABS_Y                000030f6            
[1528436906.974608] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.977140] /dev/input/event6: EV_ABS       ABS_X                000044fd            
[1528436906.977140] /dev/input/event6: EV_ABS       ABS_Y                000040df            
[1528436906.977140] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436906.995800] /dev/input/event6: EV_ABS       ABS_X                00003dfd            
[1528436906.995800] /dev/input/event6: EV_ABS       ABS_Y                000047de            
[1528436906.995800] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.019673] /dev/input/event6: EV_ABS       ABS_X                00003427            
[1528436907.019673] /dev/input/event6: EV_ABS       ABS_Y                00005043            
[1528436907.019673] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.027720] /dev/input/event6: EV_ABS       ABS_X                00002ffb            
[1528436907.027720] /dev/input/event6: EV_ABS       ABS_Y                00005368            
[1528436907.027720] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.046817] /dev/input/event6: EV_ABS       ABS_X                00002c8d            
[1528436907.046817] /dev/input/event6: EV_ABS       ABS_Y                000055db            
[1528436907.046817] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.061063] /dev/input/event6: EV_ABS       ABS_X                00002a77            
[1528436907.061063] /dev/input/event6: EV_ABS       ABS_Y                00005741            
[1528436907.061063] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.078666] /dev/input/event6: EV_ABS       ABS_X                000028fa            
[1528436907.078666] /dev/input/event6: EV_ABS       ABS_Y                000057f4            
[1528436907.078666] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.093644] /dev/input/event6: EV_ABS       ABS_X                000027c9            
[1528436907.093644] /dev/input/event6: EV_ABS       ABS_Y                00005901            
[1528436907.093644] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.111323] /dev/input/event6: EV_ABS       ABS_X                000027a3            
[1528436907.111323] /dev/input/event6: EV_ABS       ABS_Y                0000595a            
[1528436907.111323] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.137215] /dev/input/event6: EV_ABS       ABS_X                00002756            
[1528436907.137215] /dev/input/event6: EV_ABS       ABS_Y                000059b4            
[1528436907.137215] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.171773] /dev/input/event6: EV_ABS       ABS_X                00002730            
[1528436907.171773] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.212907] /dev/input/event6: EV_ABS       ABS_X                0000270a            
[1528436907.212907] /dev/input/event6: EV_ABS       ABS_Y                00005a3a            
[1528436907.212907] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.227193] /dev/input/event6: EV_ABS       ABS_X                00002697            
[1528436907.227193] /dev/input/event6: EV_ABS       ABS_Y                00005a67            
[1528436907.227193] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.280111] /dev/input/event6: EV_ABS       ABS_X                00002671            
[1528436907.280111] /dev/input/event6: EV_ABS       ABS_Y                00005b74            
[1528436907.280111] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.295324] /dev/input/event6: EV_ABS       ABS_Y                00005c27            
[1528436907.295324] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.334225] /dev/input/event6: EV_ABS       ABS_X                00002625            
[1528436907.334225] /dev/input/event6: EV_ABS       ABS_Y                00005d06            
[1528436907.334225] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.344519] /dev/input/event6: EV_ABS       ABS_X                00002566            
[1528436907.344519] /dev/input/event6: EV_ABS       ABS_Y                00005f20            
[1528436907.344519] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.367270] /dev/input/event6: EV_ABS       ABS_X                00002435            
[1528436907.367270] /dev/input/event6: EV_ABS       ABS_Y                000062cc            
[1528436907.367270] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.378722] /dev/input/event6: EV_ABS       ABS_X                00002350            
[1528436907.378722] /dev/input/event6: EV_ABS       ABS_Y                00006598            
[1528436907.378722] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.397475] /dev/input/event6: EV_ABS       ABS_X                000022de            
[1528436907.397475] /dev/input/event6: EV_ABS       ABS_Y                0000672b            
[1528436907.397475] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528436907.414641] /dev/input/event6: EV_ABS       ABS_X                0000226b            
